Name,URL,short description,Name full,LAYER?,Extra,
Javascript/node.js,,,,application layer,,
SMCP,,C-based CoAP stack,,architecture / stack,,
Bluetooth (Smart) /BLE,,technology standard: PAN <10m - 100m,,Link Protocol,,
CDMA,,Radio: Code Division Multiple Access,,Link Protocol,,
DASH7,,"RFID standard, multi year battery life range <2km, ",,Link Protocol,,
Ethernet 802.3,,,,Link Protocol,,
GSM,,,Global System for Mobile Communications,Link Protocol,,
IEEE 802.15.4,,Standard for Low-Rate Wireless Personal Area Networks (LR-WPANs)  e.g. ZigBee,,link Protocol,,
NFC,nfc-forum.org/,Ulta short range <10cm / RFID strandards,Near Field Communication,Link Protocol,Protocol Stack: https://en.wikipedia.org/wiki/Near_field_communication#/media/File:NFC_Protocol_Stack.png,
Thread,,"uses 6LowPAN,  is IP-addressable, with cloud access and AES encryption. Support 250 devices on one network",,Link Protocol,,
Wifi 802.11 a/b/g/n,,,,LInk Protocol,,
ZigBee,,"PAN, digital radio 10-100m line of sight",,Link Protocol,,
AMQP,,queuing system designed to connect servers to each other,Advanced Message Queuing Protocol,Session / Communication,,
CoAP,,"CoAP is designed to easily translate to HTTP, multicast support",Constrained Application Protocol,Session / Communication,UDP,
DDS,,fast bus for integrating intelligent machines,Data Distribution Service,Session / Communication,UDP,
FTP,,,File Transfer Protocol,Session / Communication,,
HTTP,,,Hyper Text Transfer Protocol,Session / Communication,TCP,
REST,,architectural style for building distributed systems using HTTP,Representational State Transfer ,Session / Communication,TCP,
SOAP,,"Simple Object Access Protocol /JSON/XML,ÊWebHooks,ÊJelastic, MongoDB",Simple Object Access Protocol,Session / Communication,,
Telnet,,,,Session / Communication,,
XMPP,,devices to people,Jabber,Session / Communication,TCP,
6LowPAN,,adaption layer for IPv6 over IEEE802.15.4 links / operates only in the 2.4 GHz frequency range with 250 kbps transfer rate,IPv6 over Low power Wireless Personal Area Networks,Transport ,,
DTLS,,based on the Transport Layer Security (TLS) protocol and provides equivalent security guarantees,Datagram Transport Layer,Transport ,,
IPv4 / IPv6,,Internet Layer Protocol,,Transport ,,E
TCP / IP,," ""The Internet""",Transmission Control Protocol/Internet Protocol,Transport ,,
UDP,,User Datagram Protocol / A simple OSI transport layer protocol for client/server network applications based on Internet Protocol (IP).Main alternative to TCP. Introduced in 1980,User datgram Protocol,Transport ,,
uIP / uIPv6,,open source TCP/IP stack for 8-&16-bit microcontrollers,micro IP,Transport ,,
Websocket,,Specification,,Transport ,,
MQTT,http://mqtt.org/,extremely lightweight publish/subscribe messaging transport,Message Queue Telemetry Transport,Session / Communication,TCP,
Continua HDP,,,Continua Health Device Profile,Session / Communication,UDP,
DPWS,,,Devices Profile for Web Services specification,,TCP,
SNMP,,,Simple Network Management Protocol,Application layer,UDP,
ZeroMQ,http://zeromq.org/,asynchronuous messaging library,"ZeroMQ, ¯MQ, 0MQ or ZMQ",,,